,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,,,,,,,,1,2,3,4,5,6,7,,,,
,,p/n^2,1/m,m/p,p/N,N,p,m,T_F,,,,,,,p/n^2,1/m,m/p,p/n,N,p,m,T_CsF,,,
35,,0.009375,0.083333333,0.2,0.75,80,60,12,-1.5609,,,,,,,0.009375,0.083333333,0.2,0.75,80,60,12,-1.2195,,,
36,,0.0125,0.111111111,0.2,0.75,60,45,9,-1.4394,,,,,,,0.0125,0.111111111,0.2,0.75,60,45,9,-1.0898,,,
37,,0.009183673,0.111111111,0.2,0.642857143,70,45,9,-1.7074,,,,,,,0.009183673,0.111111111,0.2,0.642857143,70,45,9,-1.4068,,,
38,,0.00703125,0.111111111,0.2,0.5625,80,45,9,-1.9252,,,,,,,0.00703125,0.111111111,0.2,0.5625,80,45,9,-1.6563,,,
39,,0.005555556,0.111111111,0.2,0.5,90,45,9,-1.9869,,,,,,,0.005555556,0.111111111,0.2,0.5,90,45,9,-1.7552,,,
40,,0.0045,0.111111111,0.2,0.45,100,45,9,-2.127,,,,,,,0.0045,0.111111111,0.2,0.45,100,45,9,-1.9196,,,
41,,0.011111111,0.125,0.2,0.666666667,60,40,8,-1.5291,,,,,,,0.011111111,0.125,0.2,0.666666667,60,40,8,-1.2186,,,
42,,0.011111111,0.25,0.1,0.666666667,60,40,4,-1.0858,,,,,,,0.011111111,0.25,0.1,0.666666667,60,40,4,-0.7678,,,
43,,0.011111111,0.1,0.25,0.666666667,60,40,10,-1.9381,,,,,,,0.011111111,0.1,0.25,0.666666667,60,40,10,-1.6247,,,
44,,0.008163265,0.125,0.2,0.571428571,70,40,8,-1.7723,,,,,,,0.008163265,0.125,0.2,0.571428571,70,40,8,-1.5016,,,
45,,0.008163265,0.25,0.1,0.571428571,70,40,4,-1.3593,,,,,,,0.008163265,0.25,0.1,0.571428571,70,40,4,-1.0807,,,
46,,0.008163265,0.1,0.25,0.571428571,70,40,10,-2.2376,,,,,,,0.008163265,0.1,0.25,0.571428571,70,40,10,-1.9782,,,
47,,0.004938272,0.125,0.2,0.444444444,90,40,8,-2.0156,,,,,,,0.004938272,0.125,0.2,0.444444444,90,40,8,-1.8182,,,
48,,0.004938272,0.25,0.1,0.444444444,90,40,4,-1.5291,,,,,,,0.004938272,0.25,0.1,0.444444444,90,40,4,-1.3204,,,
49,,0.004938272,0.1,0.25,0.444444444,90,40,10,-2.43,,,,,,,0.004938272,0.1,0.25,0.444444444,90,40,10,-2.2288,,,
50,,0.004,0.125,0.2,0.4,100,40,8,-2.1322,,,,,,,0.004,0.125,0.2,0.4,100,40,8,-1.9468,,,
51,,0.004,0.25,0.1,0.4,100,40,4,-1.6856,,,,,,,0.004,0.25,0.1,0.4,100,40,4,-1.49,,,
52,,0.004,0.1,0.25,0.4,100,40,10,-2.533,,,,,,,0.004,0.1,0.25,0.4,100,40,10,-2.3542,,,
53,,0.008,0.25,0.2,0.4,50,20,4,-1.8361,,,,,,,0.008,0.25,0.2,0.4,50,20,4,-1.6547,,,
54,,0.005555556,0.25,0.2,0.333333333,60,20,4,-1.9322,,,,,,,0.005555556,0.25,0.2,0.333333333,60,20,4,-1.7747,,,
55,,0.004081633,0.25,0.2,0.285714286,70,20,4,-1.9624,,,,,,,0.004081633,0.25,0.2,0.285714286,70,20,4,-1.8447,,,
56,,0.003125,0.25,0.2,0.25,80,20,4,-1.9731,,,,,,,0.003125,0.25,0.2,0.25,80,20,4,-1.8692,,,
57,,0.002469136,0.25,0.2,0.222222222,90,20,4,-2.061,,,,,,,0.002469136,0.25,0.2,0.222222222,90,20,4,-1.9678,,,
58,,0.002,0.25,0.2,0.2,100,20,4,-2.062,,,,,,,0.002,0.25,0.2,0.2,100,20,4,-1.9741,,,
59,,0.004166667,0.333333333,0.2,0.25,60,15,3,-1.9665,,,,,,,0.004166667,0.333333333,0.2,0.25,60,15,3,-1.8454,,,
60,,0.003061224,0.333333333,0.2,0.214285714,70,15,3,-2.0407,,,,,,,0.003061224,0.333333333,0.2,0.214285714,70,15,3,-1.9454,,,
61,,0.00234375,0.333333333,0.2,0.1875,80,15,3,-1.9723,,,,,,,0.00234375,0.333333333,0.2,0.1875,80,15,3,-1.8926,,,
62,,0.001851852,0.333333333,0.2,0.166666667,90,15,3,-2.0185,,,,,,,0.001851852,0.333333333,0.2,0.166666667,90,15,3,-1.9505,,,
63,,0.0015,0.333333333,0.2,0.15,100,15,3,-2.0599,,,,,,,0.0015,0.333333333,0.2,0.15,100,15,3,-2.0005,,,
64,,0.010204082,0.2,0.1,0.714285714,70,50,5,-0.9731,,,,,,,0.010204082,0.2,0.1,0.714285714,70,50,5,-0.6284,,,
